Ticker,Security,GICS Sector,GICS Sub-Industry
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Consumer Discretionary
CAT,Caterpillar Inc. Common Stock,Industrials,Industrials
NKE,Nike Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
RTX,RTX Corporation Common Stock,Industrials,Industrials
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
MDT,Medtronic plc. Ordinary Shares,Health Care,Health Care
UAL,United Airlines Holdings Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
CVS,CVS Health Corporation Common Stock,Consumer Staples,Consumer Staples
VTRS,Viatris Inc. Common Stock,Health Care,Health Care
FCX,Freeport-McMoRan Inc. Common Stock,Basic Materials,Basic Materials
COP,ConocoPhillips Common Stock,Energy,Energy
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Consumer Staples
LLY,Eli Lilly and Company Common Stock,Health Care,Health Care
NXPI,NXP Semiconductors N.V. Common Stock,Technology,Technology
AVGO,Broadcom Inc. Common Stock,Technology,Technology
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,Consumer Staples
KMI,Kinder Morgan Inc. Common Stock,Utilities,Utilities
AMAT,Applied Materials Inc. Common Stock,Technology,Technology
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Health Care
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
CRM,Salesforce Inc. Common Stock,Technology,Technology
SWKS,Skyworks Solutions Inc. Common Stock,Technology,Technology
EOG,EOG Resources Inc. Common Stock,Energy,Energy
HCA,HCA Healthcare Inc. Common Stock,Health Care,Health Care
MS,Morgan Stanley Common Stock,Finance,Finance
TGT,Target Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Consumer Discretionary
HPQ,HP Inc. Common Stock,Technology,Technology
MMM,3M Company Common Stock,Health Care,Health Care
VLO,Valero Energy Corporation Common Stock,Energy,Energy
YUM,Yum! Brands Inc.,Consumer Discretionary,Consumer Discretionary
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
OXY,Occidental Petroleum Corporation Common Stock,Energy,Energy
MCK,McKesson Corporation Common Stock,Health Care,Health Care
CHTR,Charter Communications Inc. Class A Common Stock New,Telecommunications,Telecommunications
HUM,Humana Inc. Common Stock,Health Care,Health Care
WYNN,Wynn Resorts Limited Common stock,Consumer Discretionary,Consumer Discretionary
CI,The Cigna Group Common Stock,Health Care,Health Care
TXN,Texas Instruments Incorporated Common Stock,Technology,Technology
ELV,Elevance Health Inc. Common Stock,Health Care,Health Care
HON,Honeywell International Inc. Common Stock,Industrials,Industrials
FDX,FedEx Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
BAX,Baxter International Inc. Common Stock,Health Care,Health Care
PANW,Palo Alto Networks Inc. Common Stock,Technology,Technology
KR,Kroger Company (The) Common Stock,Consumer Staples,Consumer Staples
CSX,CSX Corporation Common Stock,Industrials,Industrials
MET,MetLife Inc. Common Stock,Finance,Finance
F,Ford Motor Company Common Stock,Industrials,Industrials
ADBE,Adobe Inc. Common Stock,Technology,Technology
DG,Dollar General Corporation Common Stock,Consumer Discretionary,Consumer Discretionary
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Finance
DLTR,Dollar Tree Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
PSKY,Paramount Skydance Corporation Class B Common Stock,Industrials,Industrials
WMB,Williams Companies Inc. (The) Common Stock,Utilities,Utilities
PM,Philip Morris International Inc Common Stock,Health Care,Health Care
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Industrials
DE,Deere & Company Common Stock,Industrials,Industrials
ABT,Abbott Laboratories Common Stock,Health Care,Health Care
UPS,United Parcel Service Inc. Common Stock,Industrials,Industrials
EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
LVS,Las Vegas Sands Corp. Common Stock,Consumer Discretionary,Consumer Discretionary
EXPE,Expedia Group Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Health Care
USB,U.S. Bancorp Common Stock,Finance,Finance
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Consumer Discretionary
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Industrials,Industrials
LMT,Lockheed Martin Corporation Common Stock,Industrials,Industrials
MPC,Marathon Petroleum Corporation Common Stock,Energy,Energy
EMR,Emerson Electric Company Common Stock,Technology,Technology
PSX,Phillips 66 Common Stock,Energy,Energy
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,Technology,Technology
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Consumer Discretionary
COF,Capital One Financial Corporation Common Stock,Finance,Finance
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,Consumer Discretionary
WDC,Western Digital Corporation Common Stock,Technology,Technology
MGM,MGM Resorts International Common Stock,Consumer Discretionary,Consumer Discretionary
AZO,AutoZone Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
URI,United Rentals Inc. Common Stock,Consumer Discretionary,Consumer Discretionary
NVDA,NVIDIA Corporation Common Stock,Technology,Technology
APA,APA Corporation Common Stock,Energy,Energy
DHR,Danaher Corporation Common Stock,Industrials,Industrials
HLT,Hilton Worldwide Holdings Inc. Common Stock ,Consumer Discretionary,Consumer Discretionary
MO,Altria Group Inc.,Health Care,Health Care
CMI,Cummins Inc. Common Stock,Industrials,Industrials
NOC,Northrop Grumman Corporation Common Stock,Industrials,Industrials
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate
NEE,NextEra Energy Inc. Common Stock,Technology,Technology
BSX,Boston Scientific Corporation Common Stock,Health Care,Health Care
BLK,BlackRock Inc. Common Stock,Finance,Finance
CB,Chubb Limited  Common Stock,Finance,Finance
CCL,Carnival Corporation Ltd. Common Shares,Consumer Discretionary,Consumer Discretionary
CL,Colgate-Palmolive Company Common Stock,Consumer Discretionary,Consumer Discretionary
MNST,Monster Beverage Corporation,Consumer Staples,Consumer Staples
NSC,Norfolk Southern Corporation Common Stock,Industrials,Industrials
DUK,Duke Energy Corporation (Holding Company) Common Stock,Utilities,Utilities
TRV,The Travelers Companies Inc. Common Stock,Finance,Finance
EXC,Exelon Corporation Common Stock,Utilities,Utilities
EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate
APTV,Aptiv PLC Ordinary Shares,Consumer Discretionary,Consumer Discretionary
GD,General Dynamics Corporation Common Stock,Industrials,Industrials
PNC,PNC Financial Services Group Inc. (The) Common Stock,Finance,Finance
LULU,lululemon athletica inc. Common Stock,Consumer Discretionary,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,Consumer Discretionary
INTU,Intuit Inc. Common Stock,Technology,Technology
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Consumer Discretionary
